							
Synechocystis sp. PCC 6803							
Operon	GeneName	Locus Name	GI	Strand	Pos. Left(pb)	PosRight	Position
71	-	sll0062	16331486	-1	2581944	2582393	1
71	-	sll0063	16331485	-1	2580710	2581897	2
72	-	sll0063a	109150012	-1	2580291	2580557	1
73	-	sll0064	16331484	-1	2579308	2580135	1
74	ilvH	sll0065	16331478	-1	2575344	2575910	1
75	-	sll0066	16331477	-1	2574297	2575244	1
76	gst	sll0067	16331476	-1	2573649	2574203	1
77	-	sll0068	16331475	-1	2569772	2573491	1
77	-	sll0069	16331474	-1	2568975	2569745	2
78	purU	sll0070	16331472	-1	2567237	2568091	1
79	-	sll0071	16331471	-1	2566142	2567143	1
79	-	sll0072	16331470	-1	2565427	2566110	2
80	thrS	sll0078	16331761	-1	2891201	2893012	1
81	argC	sll0080	16331759	-1	2889265	2890320	1
82	-	sll0082	16331754	-1	2883920	2884276	1
83	gmhA	sll0083	16331751	-1	2879965	2880549	1
83	hisB	sll0084	16331750	-1	2879286	2879771	2
83	-	sll0085	16331749	-1	2878078	2879289	3
83	-	sll0086	16331748	-1	2876845	2878035	4
84	-	sll0088	16331743	-1	2870696	2871418	1
85	-	sll0092	16331857	-1	2998239	2998925	1
86	-	sll0094	16331849	-1	2990525	2991898	1
86	-	sll0095	16331848	-1	2988807	2990510	2
87	-	sll0096	16331847	-1	2987263	2988609	1
88	-	sll0098	16331844	-1	2983695	2984747	1
89	cbiE	sll0099	16331843	-1	2982289	2983566	1
90	ama	sll0100	16331842	-1	2981009	2982190	1
90	-	sll0101	16331841	-1	2980659	2980967	2
91	-	sll0102	16331838	-1	2977086	2978162	1
92	-	sll0103	16331837	-1	2975741	2977003	1
93	eda	sll0107	16331834	-1	2971475	2972095	1
94	amt1	sll0108	16331833	-1	2969677	2971200	1
95	aroH	sll0109	16331830	-1	2966154	2966537	1
96	-	sll0135	16331164	-1	2208778	2209758	1
97	pepP	sll0136	16331163	-1	2207370	2208695	1
98	-	sll0141	16331157	-1	2201147	2202550	1
98	-	sll0142	16331156	-1	2197732	2200959	2
99	pyrH	sll0144	161344756	-1	2192668	2193390	1
99	frr	sll0145	16331151	-1	2192133	2192681	2
100	-	sll0146	16331150	-1	2190933	2192051	1
101	-	sll0147	16331149	-1	2188230	2190236	1
102	-	sll0148	16331148	-1	2185870	2188077	1
103	-	sll0149	16331147	-1	2184030	2185784	1
104	-	sll0154	16331280	-1	2337062	2338450	1
105	-	sll0156	16331277	-1	2334877	2335503	1
106	-	sll0157	16331276	-1	2334042	2334812	1
107	glgB	sll0158	16331275	-1	2331505	2333817	1
107	-	sll0160	16331274	-1	2330788	2331462	2
108	-	sll0162	16331267	-1	2325045	2325629	1
109	-	sll0163	16331266	-1	2319555	2324636	1
109	hemD	sll0166	16331265	-1	2318011	2319627	2
109	-	sll0167	16331264	-1	2317536	2318030	3
110	-	sll0168	16331263	-1	2317112	2317447	1
111	-	sll0169	16331262	-1	2314780	2316924	1
112	dnaK	sll0170	16331261	-1	2312664	2314574	1
113	gcvT	sll0171	16331260	-1	2311377	2312495	1
114	-	sll0172	16331259	-1	2310533	2310991	1
115	-	sll0173	16331258	-1	2309413	2310471	1
115	-	sll0174	16331257	-1	2308517	2309371	2
115	-	sll0175	16331256	-1	2306850	2308472	3
115	-	ssl0312	16331255	-1	2306600	2306800	4
116	-	sll0176	16331254	-1	2305907	2306410	1
116	-	sll0177	16331253	-1	2304558	2305886	2
117	-	sll0178	16331642	-1	2755703	2759662	1
118	gltX	sll0179	16331631	-1	2741674	2743125	1
119	-	sll0180	16331629	-1	2739149	2740654	1
120	-	sll0181	16331627	-1	2737929	2738552	1
121	-	sll0182	16331626	-1	2735806	2737791	1
122	-	sll0183	16331624	-1	2734522	2735301	1
123	rpoD	sll0184	16331621	-1	2731560	2732774	1
124	-	sll0185	16331619	-1	2728812	2730071	1
125	-	sll0188	16331611	-1	2720729	2722234	1
125	-	sll0189	16331610	-1	2720250	2720702	2
126	-	sll0191	16331441	-1	2537896	2538807	1
127	-	sll0192	16331438	-1	2535487	2536758	1
128	ycf43	sll0194	16331434	-1	2531666	2532430	1
128	-	sll0195	16331433	-1	2530968	2531612	2
129	-	sll0198	16331431	-1	2528160	2528735	1
130	petE	sll0199	16331429	-1	2525827	2526207	1
131	-	sll0200	16331428	-1	2525061	2525420	1
131	-	sll0201	16331427	-1	2524573	2525067	2
132	gidA	sll0202	16331425	-1	2521830	2523737	1
133	gidA	sll0204	16331423	-1	2516814	2518184	1
134	rfbA	sll0207	16331420	-1	2512467	2513648	1
135	-	sll0208	16331419	-1	2511514	2512209	1
136	-	sll0209	16331418	-1	2510273	2511295	1
137	uppP	sll0210	16331414	-1	2507382	2508362	1
138	-	sll0216	16329324	-1	169934	170566	1
139	-	sll0217	16329322	-1	166416	168152	1
139	-	sll0218	16329321	-1	165871	166389	2
139	-	sll0219	16329320	-1	164037	165821	3
140	glmS	sll0220	16329319	-1	161768	163663	1
141	bcp	sll0221	16329318	-1	161088	161642	1
142	phoA	sll0222	16329314	-1	158757	159737	1
143	ndhB	sll0223	16329313	-1	157050	158615	1
144	-	sll0224	16329306	-1	152154	153050	1
145	-	sll0225	16329305	-1	150594	152132	1
146	ycf4	sll0226	16329304	-1	149889	150455	1
147	ppiB	sll0227	16329303	-1	148943	149683	1
147	-	sll0228	16329302	-1	148022	148942	2
148	-	sll0230	16329298	-1	145164	145529	1
149	-	sll0236	16330558	-1	1536117	1537793	1
150	-	sll0237	16330556	-1	1534548	1535579	1
150	-	sll0238	16330555	-1	1532944	1534548	2
150	-	sll0240	16330554	-1	1532301	1532957	3
150	-	sll0241	16330553	-1	1531264	1532286	4
150	-	sll0242	16330552	-1	1528472	1531261	5
150	-	sll0243	16330551	-1	1527171	1528421	6
151	galE	sll0244	16330543	-1	1521210	1522226	1
152	ychF	sll0245	16330542	-1	1520009	1521100	1
153	isiA	sll0247	16330540	-1	1517576	1518604	1
154	isiB	sll0248	16330539	-1	1516659	1517171	1
155	-	sll0249	16330538	-1	1515669	1516424	1
156	-	sll0252	16330530	-1	1508482	1509768	1
157	-	sll0253	16330527	-1	1506876	1507415	1
158	-	sll0254	16330526	-1	1504818	1506770	1
159	-	sll0257	16331109	-1	2133549	2134022	1
160	psbV	sll0258	16331106	-1	2131616	2132098	1
161	-	sll0260	16331101	-1	2126243	2127589	1
162	-	sll0261	16331097	-1	2121641	2123347	1
163	desD(des6)	sll0262	16331096	-1	2120067	2121146	1
164	-	sll0263	16331095	-1	2119301	2120020	1
165	-	sll0264	16331094	-1	2118198	2119388	1
166	-	sll0265	16331093	-1	2117309	2118214	1
166	-	sll0266	16331092	-1	2116083	2117321	2
167	-	sll0267	16331091	-1	2111141	2115877	1
167	-	sll0268	16331090	-1	2110697	2111104	2
168	-	sll0269	16331089	-1	2110166	2110579	1
168	priA	sll0270	16331088	-1	2107664	2110159	2
169	nusB	sll0271	16331086	-1	2104943	2105770	1
169	-	sll0272	16331085	-1	2104439	2104912	2
169	-	sll0273	16331084	-1	2102769	2104391	3
170	-	sll0274	16331083	-1	2101977	2102567	1
171	-	sll0280	16331881	-1	3030725	3031828	1
172	-	sll0281	16331880	-1	3029483	3030655	1
172	-	sll0282	16331879	-1	3028501	3029481	2
173	-	sll0283	16331877	-1	3024508	3025746	1
174	-	sll0284	16331876	-1	3022532	3024271	1
175	-	sll0286	16331875	-1	3021893	3022408	1
176	minC	sll0288	16331865	-1	3008508	3009251	1
176	minD	sll0289	16331864	-1	3007631	3008431	2
176	minE	ssl0546	16331863	-1	3007280	3007573	3
177	ppk	sll0290	16331862	-1	3004454	3006640	1
178	-	sll0293	16331247	-1	2298606	2299118	1
178	-	sll0294	16331246	-1	2297368	2298570	2
179	-	sll0295	16331243	-1	2291091	2291897	1
180	-	sll0297	16331235	-1	2285410	2285997	1
180	-	sll0298	16331234	-1	2284791	2285423	2
181	ribC	sll0300	16331229	-1	2280267	2280947	1
182	-	sll0301	16331228	-1	2279497	2280006	1
183	rpoD	sll0306	16331222	-1	2269126	2270163	1
184	-	sll0309	16331378	-1	2460360	2461058	1
185	-	sll0310	16331377	-1	2459374	2460282	1
186	-	sll0312	16331374	-1	2455755	2456768	1
187	-	sll0314	16331369	-1	2446395	2447339	1
188	-	sll0315	16331367	-1	2444743	2445426	1
189	-	sll0317	16331365	-1	2443461	2443859	1
190	-	sll0318	16331362	-1	2440295	2440933	1
191	-	sll0319	16331360	-1	2437922	2438815	1
191	rnd	sll0320	16331359	-1	2437235	2437888	2
192	-	sll0321	16331357	-1	2434808	2436304	1
192	hypF	sll0322	16331356	-1	2432459	2434762	2
193	-	sll0325	16331350	-1	2426297	2427787	1
194	-	sll0327	16331309	-1	2389481	2389900	1
194	-	sll0328	16331308	-1	2389062	2389481	2
195	gnd	sll0329	16331307	-1	2387424	2388872	1
196	fabG	sll0330	16331304	-1	2383949	2384728	1
197	-	sll0335	16331295	-1	2373343	2374788	1
198	accD	sll0336	16331294	-1	2372249	2373229	1
199	sphS	sll0337	16331293	-1	2370818	2372110	1
200	-	sll0350	16331286	-1	2347500	2349911	1
201	-	sll0354	16331132	-1	2156497	2156961	1
202	-	sll0355	16331131	-1	2155273	2156265	1
203	trpF	sll0356	16331130	-1	2154516	2155172	1
204	-	sll0359	16331120	-1	2146000	2146467	1
205	-	sll0360	16331119	-1	2144979	2145812	1
206	-	sll0361	16331118	-1	2144427	2144897	1
207	alaS	sll0362	16331117	-1	2141613	2144246	1
208	-	sll0364	16331114	-1	2138723	2139142	1
209	pyrR	sll0368	16331607	-1	2717177	2717713	1
209	-	sll0369	16331606	-1	2716735	2717163	2
210	carB	sll0370	161344753	-1	2713371	2716616	1
211	-	sll0371	16331604	-1	2711740	2713305	1
212	-	sll0372	16331602	-1	2710511	2711107	1
213	proA	sll0373	16331601	-1	2709084	2710385	1
214	braG	sll0374	16331600	-1	2708257	2709006	1
215	-	sll0376	16331598	-1	2705678	2705983	1
216	mfd	sll0377	16331597	-1	2701931	2705530	1
217	cysG	sll0378	16331596	-1	2700944	2701735	1
218	lpxA	sll0379	16331593	-1	2698258	2699145	1
218	rfbW	sll0380	16331592	-1	2697151	2698248	2
219	-	sll0381	16331588	-1	2694261	2695145	1
219	-	sll0382	16331587	-1	2693725	2694255	2
220	cbiM	sll0383	16331586	-1	2693080	2693724	1
220	-	sll0384	16331585	-1	2692304	2693077	2
220	-	sll0385	16331584	-1	2691528	2692382	3
221	-	sll0394	16331579	-1	2684198	2684824	1
222	-	sll0395	16331578	-1	2683443	2684081	1
223	-	sll0396	16331577	-1	2682552	2683226	1
223	-	sll0397	16331576	-1	2681894	2682547	2
223	dgt	sll0398	16331575	-1	2680550	2681872	3
224	-	sll0400	16331465	-1	2561499	2561993	1
225	gltA	sll0401	16331464	-1	2560112	2561305	1
225	aspC	sll0402	16331463	-1	2558820	2559989	2
226	-	sll0403	16331460	-1	2556081	2556503	1
227	glcD	sll0404	16331458	-1	2553961	2555439	1
228	-	sll0405	16331457	-1	2552177	2552962	1
228	-	sll0406	16331456	-1	2551682	2552167	2
229	-	sll0408	16331452	-1	2548133	2549341	1
230	-	sll0409	16331451	-1	2547067	2548029	1
230	-	sll0410	16331450	-1	2546527	2547027	2
231	-	sll0412	16331449	-1	2545122	2546381	1
232	-	sll0413	16331448	-1	2544374	2544997	1
233	-	sll0414	16331444	-1	2541864	2542724	1
233	-	sll0415	16331443	-1	2540821	2541885	2
234	groEL-2	sll0416	16331442	-1	2539000	2540658	1
235	-	sll0418	16331079	-1	2096618	2097574	1
236	-	sll0419	16331078	-1	2096076	2096540	1
236	ureB	sll0420	16331077	-1	2095723	2096040	2
237	purB	sll0421	16331075	-1	2093629	2094924	1
238	-	sll0422	16331074	-1	2092519	2093508	1
239	-	sll0423	16331073	-1	2091711	2092178	1
240	-	sll0424	16331072	-1	2090026	2091630	1
241	-	sll0426	16331070	-1	2088130	2088492	1
242	psbO	sll0427	16331068	-1	2086305	2087129	1
243	-	sll0428	16331064	-1	2082864	2083916	1
244	htpG	sll0430	16332281	-1	3514232	3516208	1
245	-	sll0431	16332278	-1	3512315	3513163	1
246	-	sll0436	16332270	-1	3503637	3504092	1
246	-	ssl0832	16332269	-1	3503304	3503585	2
247	-	sll0441	16332266	-1	3497389	3498771	1
247	-	sll0442	16332265	-1	3497016	3497351	2
248	-	sll0443	16332263	-1	3492073	3493482	1
248	-	sll0444	16332262	-1	3491512	3492015	2
248	-	sll0445	16332261	-1	3490014	3491501	3
249	-	sll0446	16332260	-1	3486693	3489911	1
249	-	sll0447	16332259	-1	3485837	3486643	2
249	-	sll0448	16332258	-1	3484623	3485828	3
249	-	sll0449	16332257	-1	3483472	3484590	4
250	norB	sll0450	16332255	-1	3479829	3482141	1
251	-	sll0451	16332254	-1	3479219	3479683	1
252	pheS	sll0454	16331530	-1	2629271	2630266	1
253	thrA	sll0455	16331527	-1	2626573	2627874	1
254	-	sll0456	16331526	-1	2625478	2626479	1
255	uvrB	sll0459	16331511	-1	2610706	2612715	1
256	proA	sll0461	16331508	-1	2606095	2607357	1
257	-	sll0462	16331507	-1	2604794	2605894	1
258	queA	sll0467	16331808	-1	2940566	2941666	1
259	prsA	sll0469	16331806	-1	2938630	2939631	1
260	-	sll0470	16331805	-1	2937748	2938308	1
261	-	sll0471	16331804	-1	2935471	2937525	1
262	-	sll0473	16331797	-1	2929703	2930755	1
262	-	sll0474	16331796	-1	2927280	2929700	2
263	-	sll0477	16331792	-1	2923803	2924567	1
263	-	sll0478	16331791	-1	2923356	2923799	2
263	-	sll0479	16331790	-1	2922907	2923359	3
264	-	sll0480	16331785	-1	2917536	2918774	1
265	-	sll0481	16331784	-1	2916997	2917464	1
265	-	sll0482	16331783	-1	2915853	2917076	2
266	-	sll0484	16331778	-1	2911122	2911859	1
267	-	sll0485	16331777	-1	2909975	2910874	1
267	-	sll0486	16331776	-1	2909493	2909801	2
267	-	sll0487	16331775	-1	2908175	2909383	3
268	-	sll0488	16331774	-1	2907447	2908058	1
269	-	sll0489	16331772	-1	2905482	2906510	1
270	-	sll0494	16332046	-1	3224429	3225334	1
271	asnC	sll0495	161344750	-1	3222476	3223864	1
271	-	sll0496	16332044	-1	3221251	3222435	2
272	-	sll0497	16332042	-1	3219158	3219985	1
272	-	sll0498	16332041	-1	3218679	3219131	2
273	-	sll0499	16332039	-1	3214581	3217427	1
274	-	sll0501	16332035	-1	3210650	3211606	1
275	argS	sll0502	16332034	-1	3208698	3210452	1
275	-	sll0503	16332033	-1	3207272	3208696	2
276	lysA	sll0504	16332032	-1	3205694	3207103	1
276	-	sll0505	16332031	-1	3204740	3205651	2
276	-	sll0506	16332030	-1	3203994	3204743	3
277	-	sll0507	16332029	-1	3202699	3203862	1
278	-	sll0508	16332027	-1	3200940	3201452	1
279	-	sll0509	16332026	-1	3199930	3200838	1
280	-	sll0513	16332021	-1	3191661	3192494	1
281	-	sll0514	16332017	-1	3186379	3188043	1
282	rbpA	sll0517	16332012	-1	3181708	3182013	1
283	-	sll0518	16332011	-1	3180380	3181537	1
284	ndhA	sll0519	16332086	-1	3269078	3270196	1
284	ndhI	sll0520	16332085	-1	3268386	3268967	2
284	ndhG	sll0521	16332084	-1	3267695	3268291	3
284	ndhE	sll0522	16332083	-1	3267244	3267555	4
285	-	sll0524	16332081	-1	3262819	3264162	1
286	-	sll0528	16332077	-1	3260137	3261276	1
287	-	sll0529	16332076	-1	3257692	3259887	1
288	tig	sll0533	16332069	-1	3246401	3247816	1
288	clpP	sll0534	16332068	-1	3245421	3246101	2
288	clpX	sll0535	16332067	-1	3244079	3245416	3
289	-	sll0536	16332066	-1	3242711	3243781	1
289	amt3	sll0537	16332065	-1	3241089	3242714	2
290	-	sll0539	16331707	-1	2826754	2827947	1
291	-	sll0540	16331706	-1	2825718	2826641	1
292	desC(des9)	sll0541	16331702	-1	2822579	2823535	1
293	acs	sll0542	16331700	-1	2819894	2821855	1
294	-	sll0543	16331693	-1	2815567	2816013	1
295	-	sll0544	16331691	-1	2813654	2814655	1
295	-	sll0545	16331690	-1	2812914	2813636	2
296	-	sll0546	16331689	-1	2812385	2812720	1
297	-	sll0547	16331688	-1	2811628	2812290	1
298	-	sll0549	16331686	-1	2809055	2809804	1
299	-	sll0550	16331685	-1	2807211	2808932	1
300	-	sll0552	16331683	-1	2805608	2806114	1
300	-	sll0553	16331682	-1	2804655	2805692	2
301	ftrC	sll0554	16331681	-1	2804228	2804584	1
301	map	sll0555	161344751	-1	2803366	2804208	2
301	-	ST6803t35		-1	2803261	2803331	3
302	-	sll0556	16331679	-1	2801140	2803035	1
303	-	sll0558	16329174	-1	2172	2873	1
304	-	sll0563	16332329	-1	3561162	3561794	1
305	-	sll0564	16332323	-1	3556111	3557094	1
305	-	sll0565	16332322	-1	3555674	3556075	2
306	fur	sll0567	16332319	-1	3552457	3552954	1
307	recA	sll0569	16332317	-1	3549956	3551020	1
308	-	sll0572	16332314	-1	3545120	3546532	1
308	arcC	sll0573	16332313	-1	3544207	3545133	2
309	rfbA	sll0574	16332311	-1	3542121	3542936	1
309	rfbB	sll0575	16332310	-1	3541344	3542108	2
309	-	sll0576	16332309	-1	3540326	3541264	3
310	-	sll0577	16332305	-1	3537706	3538215	1
311	purK	sll0578	16332304	-1	3536464	3537630	1
312	ycf36	sll0584	16331827	-1	2962706	2963227	1
312	-	sll0585	16331826	-1	2961619	2962647	2
313	-	sll0586	16331824	-1	2959530	2960756	1
313	pykF	sll0587	16331823	-1	2958036	2959487	2
314	-	sll0588	16331822	-1	2957479	2957940	1
315	-	sll0590	16331818	-1	2952561	2954255	1
316	glk	sll0593	16331813	-1	2945070	2946137	1
317	-	sll0594	16331812	-1	2944272	2944889	1
318	-	sll0595	16331811	-1	2943770	2944201	1
318	-	sll0596	16331810	-1	2943000	2943734	2
319	-	sll0597	16331809	-1	2941756	2942883	1
320	-	sll0601	16331572	-1	2676937	2677755	1
321	-	sll0602	16331569	-1	2671895	2673970	1
321	menD	sll0603	16331568	-1	2670115	2671902	2
322	-	sll0606	16331566	-1	2667542	2668972	1
323	-	sll0608	16331563	-1	2663686	2664000	1
324	-	sll0609	16331562	-1	2663366	2663731	1
325	-	sll0611	16331556	-1	2657148	2657594	1
326	ruvB	sll0613	16331552	-1	2651866	2652951	1
326	-	sll0614	16331551	-1	2651440	2651838	2
327	-	sll0615	16331550	-1	2650377	2650997	1
328	secA	sll0616	16331549	-1	2647386	2650184	1
329	im30	sll0617	16331547	-1	2645271	2646074	1
330	dsbD	sll0621	16332146	-1	3346910	3347656	1
331	nadA	sll0622	16332145	-1	3345861	3346817	1
331	-	sll0623	16332144	-1	3345027	3345815	2
332	-	sll0624	16332142	-1	3342125	3342442	1
333	-	sll0625	16332141	-1	3341166	3341843	1
334	lim17	sll0626	16332140	-1	3339500	3340969	1
335	psaK	sll0629	16332131	-1	3322377	3322763	1
336	-	sll0630	16332130	-1	3321844	3322281	1
337	nadB	sll0631	16332129	-1	3320075	3321736	1
338	btpA	sll0634	16329576	-1	445061	445924	1
339	thiE	sll0635	16329575	-1	443913	444944	1
340	-	sll0638	16329573	-1	440610	441986	1
341	-	sll0639	16329572	-1	439184	440437	1
342	sac1	sll0640	16329568	-1	434320	436158	1
342	-	sll0641	16329567	-1	432779	434308	2
343	ureG	sll0643	16329565	-1	430424	431044	1
344	-	sll0644	16329563	-1	428619	429614	1
345	-	sll0645	16329562	-1	427777	428544	1
345	cyaA	sll0646	16329561	-1	425468	427738	2
345	-	sll0647	16329560	-1	424694	425464	3
346	lim	sll0648	16329559	-1	423490	424566	1
346	-	sll0649	16329558	-1	422772	423509	2
347	-	sll0650	16329557	-1	422253	422612	1
347	-	sll0651	16329556	-1	421765	422259	2
348	-	sll0654	16329548	-1	410315	414544	1
348	nucH	sll0656	16329547	-1	404545	410184	2
349	mraY	sll0657	16331969	-1	3121972	3123069	1
349	-	ssl1255	16331968	-1	3121684	3121953	2
349	-	sll0658	16331967	-1	3121193	3121687	3
349	-	sll0659	16331966	-1	3119608	3121176	4
350	pdxA	sll0660	16331963	-1	3117042	3118091	1
351	ycf35	sll0661	16331961	-1	3115973	3116359	1
352	-	sll0662	16331960	-1	3115572	3115973	1
353	-	sll0664	16331955	-1	3110910	3111830	1
354	-	sll0665	16331954	-1	3110216	3110560	1
355	-	sll0666	16331953	-1	3109733	3110152	1
355	-	sll0667	16331952	-1	3109036	3109695	2
355	-	sll0668	16331951	-1	3108643	3109023	3
356	-	sll0669	16331948	-1	3103784	3104104	1
357	-	sll0670	16331947	-1	3103070	3103579	1
358	-	sll0671	16331946	-1	3101820	3102962	1
359	-	sll0672	16331945	-1	3098729	3101566	1
360	-	sll0676	16331939	-1	3095044	3095586	1
361	sphX	sll0679	16331544	-1	2642135	2643145	1
362	pstS	sll0680	16331543	-1	2640662	2641813	1
362	pstC	sll0681	16331542	-1	2639627	2640580	2
362	pstA	sll0682	16331541	-1	2638578	2639441	3
362	pstB	sll0683	16331540	-1	2637743	2638552	4
363	pstB	sll0684	16331539	-1	2636828	2637628	1
364	-	sll0685	16331538	-1	2636236	2636724	1
364	-	sll0686	16331537	-1	2635219	2636046	2
364	-	sll0687	16331536	-1	2634660	2635217	3
364	-	sll0688	16331535	-1	2633852	2634655	4
365	-	sll0689	16331534	-1	2632124	2633509	1
366	-	sll0691	16331531	-1	2630469	2631071	1
367	-	sll0696	16329284	-1	130167	131039	1
368	dfr	sll0698	16329279	-1	124452	126443	1
369	-	sll0699	16329278	-1	123989	124348	1
369	-	sll0700	16329277	-1	123501	123995	2
370	-	sll0702	16329273	-1	119570	119962	1
371	-	sll0703	16329272	-1	118333	119532	1
372	nifS	sll0704	16329270	-1	116518	117693	1
373	ksgA	sll0708	16329260	-1	107471	108325	1
374	llaI.2	sll0709	16329259	-1	105151	106539	1
374	-	sll0710	16329258	-1	102930	105110	2
375	-	sll0711	16329257	-1	101884	102831	1
376	cysM	sll0712	16329256	-1	100794	101771	1
377	lepB	sll0716	16329254	-1	98609	99199	1
378	-	sll0722	16332224	-1	3442661	3443311	1
379	-	sll0723	16332223	-1	3436529	3441844	1
380	pgm	sll0726	16332219	-1	3431317	3433020	1
381	-	sll0727	16332218	-1	3429461	3431203	1
382	accA	sll0728	16332214	-1	3425538	3426518	1
382	-	sll0729	16332213	-1	3424667	3425524	2
382	-	ssl1378	16332212	-1	3424394	3424648	3
383	-	sll0732	16332210	-1	3421907	3422482	1
384	-	sll0733	16332207	-1	3418971	3419420	1
385	-	sll0735	16332203	-1	3413078	3414667	1
385	-	sll0736	16332202	-1	3411849	3413075	2
386	-	sll0737	16331979	-1	3136019	3138604	1
386	modA	sll0738	16331978	-1	3135185	3135997	2
386	-	sll0739	16331977	-1	3133291	3135138	3
386	-	sll0740	16331976	-1	3132577	3133284	4
387	nifJ	sll0741	16331975	-1	3128387	3131986	1
388	-	sll0742	16331974	-1	3127864	3128313	1
389	-	sll0743	16331973	-1	3127364	3127846	1
390	-	sll0744	16331972	-1	3126311	3127342	1
391	pfkA	sll0745	16331971	-1	3125045	3126199	1
392	-	sll0749	16331346	-1	2422833	2423432	1
393	sarA	sll0750	16331345	-1	2421536	2422687	1
