
Objective = 0.0895186

#Fluxes	Value	Minimum	Maximum
5.3.1.16	0.00824073	0	0.00824072
2.4.2.-a	0.00824073	0	0.00824072
4.2.1.19	0.00824073	0	0.00824072
2.6.1.9a	0.00824073	0	0.00824072
·3.1.3.15	0.00824073	0	0.00824072
1.1.1.23a	0.00824073	0	0.00824072
1.1.1.23b	0.00824073	0	0.00824072
tRNA 6.1.1.21	0	0	0
_2.2.1.6d	0.0759979	0	0.0759979
1.1.1.86a	0	-0.0759979	0
4.2.1.9a	0	0	0.0759979
2.6.1.42a	0.0368086	0	0.0368086
tRNA 6.1.1.9	0	0	0
_2.2.1.6e	0.0252716	0	0.0252716
_4.2.1.35a	0	0	0
_4.2.1.35b	0	0	0
_1.1.1.85b	0	0	0
1.1.1.86b	0.0252716	0	0.0252716
4.2.1.9b	0.0252716	0	0.0252716
2.6.1.42b	-0.0252716	-0.0252716	0
tRNA 6.1.1.5	0	0	0
2.3.3.13	0.0391893	0	0.0391893
4.2.1.33a	0.0391893	0	0.0391893
4.2.1.33b	-0.0391893	-0.0391893	0
1.1.1.85a	0.0391893	0	0.0391893
RXN-7800	0.0391893	0	0.0391893
2.6.1.42c	0.0391893	0	0.0391893
tRNA 6.1.1.4	0	0	0
·2.3.1.31	0.0133684	0	0.0133684
·2.5.1.48	0.0133684	0	0.0133684
3.3.1.1	0.00244223	0	0.00244223
2.1.1.13	0.0158106	0	0.0158106
2.5.1.6	0.00244223	0	0.0073267
tRNA 2.1.2.9b	0	0	0
tRNA 6.1.1.10	0	0	0
_2.1.1.37	0	0	0
1.2.1.16	0	0	0
2.4.2.28	0	0	0
5.3.1.23	0	0	0
3.5.2.10	0	0	0
1.13.11.27	0	0	0
6.3.5.5	0	0	0.377778
2.1.3.2	0.0314598	0	0.377778
3.5.2.3	-0.0314598	-0.377778	0
1.3.3.1	0.0314598	0	0.377778
2.4.2.10	-0.0314598	-0.377778	0
4.1.1.23	0.0314598	0	0.377778
3.1.3.5g	0	0	0
2.7.4.14a	0.0188923	-1000	1000
_2.7.4.22	0	-1000	1000
2.4.2.9	0	0	0
3.6.1.19e	0	0	1303.2
2.7.4.6e	0.03708	-0.0124522	1000
3.5.4.13a	0.826259	0	1303.2
6.3.4.2	0	0	1303.2
2.7.4.6h	-0.0181877	-1303.2	1303.2
3.6.1.19f	0	0	1303.2
2.7.4.9b	0	0	1303.2
1.17.4.1e	0.0181877	0	1303.2
2.1.1.148	0	0	0
2.7.7.8c	0	0	1000
2.7.7.6c	0.863339	0	1000
3.5.4.1a	0	0	0
2.7.4.6f	0.832133	-1303.2	1000
2.7.4.14b	-0.00520352	-0.00520352	0.00450075
1.17.4.1d	0	-1000	1000
3.1.3.5h	0	0	0
2.7.4.6g	0	-1000	1000
2.7.4.14c	0	0	0
3.1.3.5i	0	0	0
3.5.4.13b	0.0181877	0	1303.2
2.7.7.6d	0	0	1000
2.7.7.8d	0.837337	0	1000
2.7.7.7c	-0.0201329	-1000	1000
3.1.3.5j	0	0	0
2.7.4.9a	0	0	0
2.7.4.6i	0	0	0
2.7.7.7d	-0.00216193	-0.00216193	0
_3.5.4.1b	0	0	0
_3.6.1.13	0	0	0
2.7.6.1	0.0738838	0	0.377778
2.4.2.14	0.0292389	0	0.34
6.3.4.13	0.0292389	0	0.34
2.1.2.2a	0.0292389	-1000	0.34
6.3.5.3	0.0292389	0	0.34
6.3.3.1	0.0292389	0	0.34
4.1.1.21	-0.0292389	-0.34	0
6.3.2.6	0.0292389	0	0.34
4.3.2.2b	0.0292389	0	0.34
2.1.2.3	0.0374796	0	0.34
2.4.2.7c	0	0	0
3.5.4.10	-0.0374796	-0.34	0
3.1.3.5c	0	0	0
_2.7.4.3c	0	0	1303.2
3.6.1.19a	0	0	1303.2
3.6.1.19g	0	0	0
_1.17.4.1b	0	0	0
2.7.4.6j	0	0	2606.4
2.7.4.6b	0	0	0
1.1.1.205	0.0924479	0	236.945
3.1.3.5d	0	0	0
3.6.1.19b	0	0	0
6.3.5.2	0.0924479	0	236.945
3.1.3.5a	-0.00244223	-0.00244223	0
2.4.2.7a	0	0	0
2.7.4.3a	-1.02086	-1000	1253.2
3.6.1.15	0	0	1303.2
2.7.4.6a	-7.46871e-019	-1000	1000
2.7.1.40b	0	-1000	1000
1.17.4.1a	0	-1000	1000
2.7.4.3b	-3.73436e-019	0	0.00488446
3.1.3.5b	3.73436e-019	-0.00488446	0
2.7.7.7a	-0.00216193	-1000	1000
2.7.7.6a	0	0	1000
2.7.7.8a	0.0809708	0	1000
2.4.2.-b	0	0	0
_2.7.7.19	0	0	1000
3.1.3.5e	0	0	0
2.4.2.7b	0	0	0
2.7.4.8a	0.0813703	0	1303.2
3.6.1.19c	0	0	1303.2
1.17.4.1c	-0.026402	-1000	1000
2.7.4.6c	0	-1000	1000
2.7.1.40c	0	-1000	1000
2.7.4.8b	0	0	1303.2
2.7.4.6d	0.026402	-1000	1000
2.7.1.40d	0	-1000	1000
3.1.3.5f	0	-434.4	0
3.1.5.1	0	0	434.4
3.6.1.19d	0	0	1303.2
3.1.7.2	0	0	0
3.6.1.11	0	0	0
2.7.7.6b	0.0549683	0	1000
2.7.7.8b	0	0	1000
2.7.7.7b	0.0244568	-1000	1000
_3.6.5.3	0	0	0
2.7.7.4	0.0159322	0	0.0159322
2.7.1.25	0	0	0
_2.7.7.53a	0.00796608	0	0.00796608
2.7.7.53b	-0.00796608	-0.00796608	0
4.6.1.1	0	0	0
4.6.1.2	0	0	0
4.1.1.-b	0	0	0
3.5.4.16	0	0	0
3.6.1.-a	0	0	0
3.6.1.-b	0	0	0
4.1.2.25	0	0	0
2.7.6.3	0	0	0
2.5.1.15	0	0	0
4.1.3.38	0	0	0
·6.3.4.3	0	0	1303.2
·2.6.1.85	0	0	0
6.3.2.12	0	0	0
·1.5.1.3	0	0	0
6.3.2.17a	0	0	0
6.3.2.17b	0	0	0
6.3.2.17c	0	0	0
_4.2.3.12	0	0	0
_1.1.1.153	0	0	0
2.1.2.2b	0	0	1000
_1.4.4.2	0	0	0.17
_2.1.2.10a	0	0	0.17
_1.8.1.4c	0	0	0.17
1.5.1.5	0.0667184	0	0.68
3.5.1.10	0	0	1303.2
3.5.4.9a	0.0667184	-1000	0.68
6.3.3.2	0	0	1303.2
2.1.2.10b	0	0	1303.2
·1.5.1.20a	-0.0158106	-1000	1000
·1.5.1.20b	0	-1000	1000
2.1.2.9a	0	0	0
_1.8.98.1	0	0	0
_1.12.98.1	0	0	0
_PSII	0.4	0	0.4
_UQ	0.8	0	0.8
_citb6	10.4515	0	838.545
_1.10.99.1	0	0	0.8
_PSI	0	0	0.8
_Fd	0.8	0	0.8
_FNR	23.1562	1.2	1000
_1.18.1.2	23.1562	1.2	1000
_3.6.3.14	15.6772	0	1858.62
3.6.1.1	0	0	1303.2
2.7.4.1	0	0	2606.4
_NADPH2a	1.36149e-014	0	0.17
_NADPH2b	0	0	1000
_1.12.1.3	1.36149e-014	0	1000
_cyclicPS	9.65148	0	600.8
_NDH1	0	0	0.8
_1.6.5.3	0	0	600.8
_1.6.99.3	0	0	600.8
_quinol oxidase	0	0	329.114
_cit c	10.4515	0	838.545
_1.9.3.1	4.82574	0	418.873
_PSIaltern	0.8	0	0.8
2.3.1.35	0.0257294	-1303.2	0.0257294
2.6.1.11	-0.0257294	-0.0257294	0
_3.5.1.14	0	0	1303.2
1.2.1.38	-0.0257294	-0.0257294	0
2.7.2.8	0.0257294	0	0.0257294
2.3.1.1	0	0	1303.2
3.5.1.5	0	0	0
4.2.1.1a	0	-10.1889	11.7
_1.4.3.4	0	0	0
_1.2.1.3a	0	0	0
_1.2.1.3b	0	0	0
_3.5.1.4a	0	0	0
_NR	0	0	108.6
_NiR	0	0	325.8
_nitrate	0	0	108.6
_nitrite	0	0	108.6
2.7.2.2a	0.0571892	0	0.377778
4.2.1.104	0	0	0
_2.7.2.2b	0	0	0
1.7.99.7	0	0	0
1.4.3.-	0	0	0.17
QUINOLINATE-SYNTHA-RXN	0	0	0.17
2.4.2.19	0	0	0.17
3.1.3.5k	0	0	1303.2
2.7.7.1a	0	0	0.17
2.7.7.18a	0	0	0.17
_6.3.1.5	0	0	0.17
2.7.7.1b	0	0	0
2.7.7.18b	0	0	0
3.1.3.5l	0	0	0
2.7.1.23	0	0	0.17
1.6.1.2	0	-1000	1000
·4.1.3.40	0	0	0
·octaprenylsyn	0	0	0
2.5.1.-c	0	0	0
4.1.1.-a	0	0	0
OCTAPRENYLPHENOL-HYDROX-RXN	0	0	0
·2.1.1.64b	0	0	0
1.14.13.-a	0	0	0
2.1.1.-c	0	0	0
1.14.13.-b	0	0	0
·2.1.1.64a	0	0	0
_UQsyn	0	0	0
5.4.4.2	0	0	0
2.5.1.64	0	0	0
4.2.1.113	0	0	0
6.2.1.26	0	0	0
4.1.3.36	0	0	0
2.5.1.-a	0	0	0
2.1.1.-a	0	0	0
2.5.1.-b	0	0	0
2.1.1.-b	0	0	0
1.8.4.8	0	0	0
·1.13.11.8	0	0	0
new1.8.7.1	0.00796608	0	0.00796608
6.2.1.1	-1.17533	-1000	1253.2
1.2.1.3c	0	-1.7	0
1.1.1.1	0	0	1.7
1.1.1.2	0	0	1.7
2.3.1.8	-1.18329	-1000	1253.2
2.7.2.1	1.18329	-1253.2	1000
_1.1.1.86	0.0759979	0	0.0759979
_4.2.1.9	0.0759979	0	0.0759979
2.1.2.11	0	0	0
1.1.1.169	0	0	0
6.3.2.1	0	0	0
_1.2.1.3d	0	0	0
2.7.1.33	0	0	0
6.3.2.5	0	0	0
4.1.1.36	0	0	0
_2.7.7.3	0	0	0
_2.7.1.24	0	0	0
_6.4.1.2a	0.249656	0	0.249656
_6.4.1.2b	0	0	0
_6.3.4.14	0	0	0
2.3.1.39	0.249656	0	0.249656
2.3.1.41a	0.0336975	0	0.0336975
2.3.1.41b	0.0336975	0	0.0336975
1.1.1.100a	0.0336975	0	0.0336975
4.2.1.-a	0.0336975	0	0.0336975
1.3.1.9a	0.0336975	0	0.0336975
2.3.1.41c	0.0336975	0	0.0336975
1.1.1.100b	0.0336975	0	0.0336975
4.2.1.-b	0.0336975	0	0.0336975
1.3.1.9b	0.0336975	0	0.0336975
2.3.1.41d	0.0336975	0	0.0336975
1.1.1.100c	0.0336975	0	0.0336975
4.2.1.-c	0.0336975	0	0.0336975
1.3.1.9c	0.0336975	0	0.0336975
2.3.1.41e	0.0336975	0	0.0336975
1.1.1.100d	0.0336975	0	0.0336975
1.3.1.9d	0.0336975	0	0.0336975
4.2.1.-d	0.0336975	0	0.0336975
2.3.1.41f	0.0336975	0	0.0336975
1.1.1.100e	0.0336975	0	0.0336975
4.2.1.-e	0.0336975	0	0.0336975
1.3.1.9e	0.0336975	0	0.0336975
2.3.1.41g	0.0336975	0	0.0336975
1.1.1.100f	0.0336975	0	0.0336975
4.2.1.-f	0.0336975	0	0.0336975
1.3.1.9f	0.0336975	0	0.0336975
2.3.1.41h	0.0336975	0	0.0336975
1.1.1.100g	0.0336975	0	0.0336975
4.2.1.-g	0.0336975	0	0.0336975
1.3.1.9g	0.0336975	0	0.0336975
2.3.1.179i	0.0137733	0	0.0137733
1.1.1.100h	0.0137733	0	0.0137733
4.2.1.-h	0.0137733	0	0.0137733
1.3.1.9h	0.0137733	0	0.0137733
_1.14.19.1a	0.0014085	0	0.0014085
_1.14.19.1b	0.0134584	0	0.0134584
_1.14.19.-a	0.0048031	0	0.0048031
_1.14.19.-b	0.00160875	0	0.00160875
_1.14.19.-c	0.00580088	0	0.00580088
_1.14.19.-d	0.00580088	0	0.00580088
_1.14.19.-e	0.00129639	0	0.00129639
·3.1.2.14a	0	0	0
·3.1.2.14b	0	0	0
·3.1.2.14c	0	0	0
·3.1.2.14d	0	0	0
·3.1.2.14e	0.0185158	0	0.0185158
·3.1.2.14f	0.0014085	0	0.0014085
·3.1.2.14g	0.000314905	0	0.000314905
·3.1.2.14h	0.00285439	0	0.00285439
·3.1.2.14i	0.00319435	0	0.00319435
·3.1.2.14j	0.00160875	0	0.00160875
·3.1.2.14k	0	0	0
·3.1.2.14l	0.00450449	0	0.00450449
·3.1.2.14m	0.00129639	0	0.00129639
2.3.1.179a	0	0	0
2.3.1.179b	0	0	0.0336975
2.3.1.179c	0	0	0.0336975
2.3.1.179d	0	0	0.0336975
2.3.1.179e	0	0	0.0336975
2.3.1.179f	0	0	0.0336975
2.3.1.179g	0	0	0.0336975
2.3.1.179h	0	0	0.0336975
2.3.1.180a	0	0	0
2.3.1.180b	0	0	0.0336975
2.3.1.180c	0	0	0.0336975
2.3.1.180d	0	0	0.0336975
2.3.1.180e	0	0	0.0336975
2.3.1.180f	0	0	0.0336975
2.3.1.180g	0	0	0.0336975
2.3.1.180h	0	0	0.0336975
tRNA 1.2.1.70	-0.0195379	-0.0195379	0
5.4.3.8	0.0195379	0	0.0195379
4.2.1.24	0.00976893	0	0.00976893
2.5.1.61	0.00244223	0	0.00244223
4.2.1.75	0.00244223	0	0.00244223
_uroporphyrinogen-I	0	0	0
_uroporphyrin-I	0	0	0
4.1.1.37b	0	0	0
_coproporphyrin-I	0	0	0
_uroporphyrin-III	0	0	0
4.1.1.37a	0.00244223	0	0.00244223
_1.3.3.3	0.00244223	0	0.00244223
_1.3.99.22	0	0	0.00244223
·1.3.3.4	0.00244223	0	0.00244223
4.99.1.1	0	0	0
2.5.1.-d	0	0	0
_COX15	0	0	0
_1.14.99.3	0	0	0
1.3.7.5	0	0	0
1.3.1.24a	0	0	0
1.3.1.24b	0	0	0
6.6.1.1	0.00244223	0	0.00244223
2.1.1.11	0.00244223	0	0.00244223
Zn-Bacterio-chlorophyll-a	0	0	0
1.14.13.81a	0.00244223	0	0.00244223
1.14.13.81b	0.00244223	0	0.00244223
1.14.13.81c	0.00244223	0	0.00244223
1.3.1.33a	0	0	0.00240764
·1.3.1.75a	0	0	0.00240764
·1.3.1.75b	0	0	0.00240764
_BacChl	0	0	0
_BacPheo	0	0	0
1.3.1.33b	0	0	0.00240764
_1.18.-.-	0	0	0.00240764
_dChla	0.00244223	0	0.00244223
_Chla	0.00244223	0	0.00244223
2.5.1.62	0	0	0.00240764
_Chlb	0	0	0
_Pheo	0	0	0
2.1.1.107a	0	0	0
2.1.1.107b	0	0	0
_2.1.1.130	0	0	0
4.99.1.3	0	0	0
2.1.1.151	0	0	0
2.1.1.131a	0	0	0
2.1.1.133a	0	0	0
RXN-8763	0	0	0
RXN-8764	0	0	0
_1.3.1.54a	0	0	0
RXN-8766	0	0	0
RXN-8767	0	0	0
RXN-8768	0	0	0
_6.3.1.-	0	0	0
2.1.1.131b	0	0	0
2.1.1.133b	0	0	0
_1.3.1.54b	0	0	0
_2.1.1.132	0	0	0
5.4.1.2	0	0	0
_6.3.5.9	0	0	0
6.6.1.2	0	0	0
·1.16.8.1	0	0	0
2.5.1.17a	0	0	0
6.3.5.10	0	0	0
6.3.1.10a	0	0	0
RXN-8626	0	0	0
4.1.1.81	0	0	0
6.3.1.10b	0	0	0
2.5.1.17b	0	0	0
2.7.1.156	0	0	0
2.7.7.62	0	0	0
2.7.8.26	0	0	0
3.5.4.25	0	0	0
3.5.4.26	0	0	0
1.1.1.193	0	0	0
RIBOPHOSPHAT-RXN	0	0	0
LUMAZINESYN-RXN	0	0	0
DIOHBUTANONEPSYN-RXN	0	0	0
2.5.1.9	0	0	0
_lumazine	0	0	0
2.7.1.26	0	0	0
2.7.7.2	0	0	0
_benzimidazole	0	0	0
·2.4.2.21	0	0	0
·3.1.3.73	0	0	0
·2.4.2.1	0	0	0
·2.7.1.1	0	0	1303.2
_1.8.1.9	15.9956	0.2	1000
_Thiored	-16.0038	-1000	-0.2
_FMNH2	0	0	0
1.11.1.6	0	0	260.64
_1.15.1.1	0	0	0
_1.11.1.7a	0	0	0
1.1.1.38	0	0	1303.2
4.1.1.31	0.27423	0	1303.2
1.2.4.1	0.446189	0	473.891
2.3.1.12	-0.446189	-473.891	0
1.8.1.4a	0.446189	0	473.891
4.2.3.3	0	0	651.6
4.4.1.5	0	-651.6	0
3.1.2.6	0	0	651.6
1.1.1.28	0	0	651.6
2.3.1.9	0	0	0
3.4.11.2a	0	0	534.4
3.4.11.2b	0	0	0
6.3.2.3	0	0	534.4
_2.3.2.2a	0	0	356.267
_2.3.2.2b	0	0	534.4
_2.3.2.2c	0	0	534.4
_2.3.2.2d	0	0	534.4
_2.3.2.2e	0	0	534.4
_2.3.2.2f	0	0	534.4
_2.3.2.2g	0	0	534.4
_2.3.2.2h	0	0	534.4
_2.3.2.2i	0	0	534.4
_2.3.2.2j	0	0	534.4
_2.3.2.2k	0	0	534.4
_2.3.2.2l	0	0	534.4
_2.3.2.2m	0	0	534.4
_2.3.2.2n	0	0	534.4
_2.3.2.2o	0	0	534.4
_2.3.2.2p	0	0	534.4
_2.3.2.2q	0	0	534.4
_2.3.2.2r	0	0	534.4
_2.3.2.2s	0	0	534.4
_2.3.2.2t	0	0	534.4
3.5.2.9	0	0	534.4
_2.5.1.18	0	0	0
_2.3.2.2u	0	0	0
1.11.1.9	0	0	0
·6.3.2.2	0	0	534.4
·2.3.2.4a	0	0	534.4
·2.3.2.4b	0	0	534.4
·2.3.2.4c	0	0	534.4
·2.3.2.4d	0	0	534.4
·2.3.2.4e	0	0	534.4
·2.3.2.4f	0	0	534.4
·2.3.2.4g	0	0	534.4
·2.3.2.4h	0	0	534.4
·2.3.2.4i	0	0	534.4
·2.3.2.4j	0	0	534.4
·2.3.2.4k	0	0	534.4
·2.3.2.4l	0	0	534.4
·2.3.2.4m	0	0	534.4
·2.3.2.4n	0	0	534.4
·2.3.2.4o	0	0	534.4
·2.3.2.4p	0	0	534.4
·2.3.2.4q	0	0	534.4
·2.3.2.4r	0	0	534.4
·2.3.2.4s	0	0	534.4
4.1.2.13c	0	0	0
2.7.1.4	0	0	0
5.3.1.8	0	0	0
5.4.2.8	0	0	0
2.7.7.22	0	0	0
2.7.7.13	0	0	0
4.2.1.47	0	0	0
1.1.1.271	0	0	0
2.6.1.16	0	0	0
5.4.2.10	0	0	0
2.3.1.157	0	0	0
2.7.7.23	0	0	0
2.5.1.7	0	0	0
_1.1.1.158	0	0	0
_5.1.3.8	0	0	0
_5.1.3.14a	0	0	0
_5.1.3.14b	0	0	0
6.3.2.8	0	0	0
6.3.2.9	0	0	0
6.3.2.13	0	0	0
6.3.2.10a	0	0	0
2.7.8.13a	0	0	0
2.4.1.227a	0	0	0
_6.3.1.2b	0	0	0
6.3.2.10b	0	0	0
2.7.8.13b	0	0	0
2.4.1.227b	0	0	0
_6.3.1.2c	0	0	0
6.3.2.10c	0	0	0
2.7.8.13c	0	0	0
2.4.1.227c	0	0	0
_6.3.1.2d	0	0	0
·2.3.2.10a	0	0	0
·2.3.2.10b	0	0	0
·2.3.2.10c	0	0	0
6.3.2.4	0	0	1303.2
3.6.1.27	0	0	0
_peptidoglycan_syna	0	0	0
_peptidoglycan_synb	0	0	0
_peptidoglycan_sync	0	0	0
3.4.16.4	0	0	1303.2
2.3.1.129	0	0	0
2.4.1.14	0	0	0
_5.4.2.6	0	0	0
2.4.1.25	0	0	0
_2.4.1.1	0	0	1000
2.7.7.27	0.00779144	0	1000
_a-glucansyn	0.00129857	0	0.0472222
_2.4.1.21a	0	0	1000
_glycsyn	0.00129857	0	0.0472222
_2.4.1.21b	0.00259715	0	1000
_2.4.1.18	0.00129857	-1000	0.0472222
5.4.2.2	-0.00779144	-0.283333	0
4.2.1.45	0	0	0
_cellulosedeg	0	0	0
_3.2.1.4	0	0	0
_3.2.1.21a	0	0	0
_3.2.1.21b	0	0	0
_2.4.1.213	0	0	0
3.1.3.69	0	0	0
2.2.1.7	0.00587403	0	0.0154214
1.1.1.267	-0.00587403	-0.0154214	0
2.7.7.60	0.00587403	0	0.0154214
2.7.1.148	0.00587403	0	0.0154214
4.6.1.12	0.00587403	0	0.0154214
1.17.7.1	-0.00587403	-0.0154214	0
1.17.1.2a	0.00587403	0	0.0154214
1.17.1.2b	0	0	0
5.3.3.2	0.00146851	0	0.00385535
2.5.1.29a	0.00146851	0	1000
_2.5.1.29b	0.00146851	0	0.00385535
_2.5.1.29c	0.00146851	0	0.00385535
_UbiQ	0	0	0
_2.5.1.21a	0	0	0
_2.5.1.21b	0	0	0
_1.3.1.83	0	0	0.00240764
_HPT	0	0	0
_PhytQnol	0	0	0
_VTE1a	0	0	0
_VTE1b	0	0	0
_2.1.1.95a	0	0	0
_2.1.1.95b	0	0	0
_VitE	0	0	0
_5.4.99.17	0	0	0
_2.3.1.181a	0	0	0
_2.8.1.8a	0	0	0
_2.8.1.8b	0	0	0
_2.3.1.181b	0	0	0
_2.7.7.63a	0	0	0
·transp_lipoate	0	0	0
_2.7.7.63b	0	0	0
_2.5.1.32	0.000734254	0	0.000734254
_CrtP1	0.000734254	0	0.000734254
_CrtP2	0.000734254	0	0.000734254
1.14.99.30a	0.000734254	0	0.000734254
1.14.99.30b	0.000734254	0	0.000734254
_crtHa	0	0	0.000734254
_crtHb	0	0	0.000734254
·CrtLa	0	0	0
·CrtLb	0	0	0
_CrtRa	0	0	0
_CrtRb	0	0	0
_CrtOa	0	0	0
_CrtOb	0	0	0
_CrtRc	0	0	0
_CrtRd	0	0	0
_CrtRe	0	0	0
_CrtRf	0	0	0
_gCar	0	0	0
_CrtRg	0	0	0
5.1.3.2a	0	0	0
1.1.1.22	0	0	0
2.7.7.24	0	0	0
5.1.3.2b	0	0	0
2.7.7.33	0	0	0
4.2.1.46	0	0	0
5.1.3.13a	0	0	0
5.1.3.13b	0	0	0
1.1.1.133a	0	0	0
1.1.1.133b	0	0	0
_1.2.1.3e	0	0	0
PYRIMSYN1-RXN	0	0	0
2.5.1.3	0	0	0
2.7.1.49	0	0	0
2.7.4.7	0	0	0
2.7.4.16	0	0	0
