Metabolite	Number of neighbors	All_n	AvgAbsPearson	Z-score	P-value	Consumed_n	Consumed_AvgAbsPearson	Consumed_Z-score	Consumed_P-value	Produced_n	Produced_AvgAbsPearson	Produced_Z-score	Produced_P-value	cross_n	Cross_AvgAbsPearson	Cross_Z-score	Cross_P-value	positive_n	positive_Pearson	positive_Z-score	positive_P-value	Consumed_positive_n	Consumed_positive_Pearson	Consumed_positive_Z-score	Consumed_positive_P-value	Produced_positive_n	Produced_positive_Pearson	Produced_positive_Z-score	Produced_positive_P-value	Cross_positive_n	Cross_positive_Pearson	Cross_positive_Z-score	Cross_positive_P-value	negative_n	negative_Pearson	negative_Z-score	negative_P-value	Consumed_negative_n	Consumed_negative_Pearson	Consumed_negative_Z-score	Consumed_negative_P-value	Produced_negative_n	Produced_negative_Pearson	Produced_negative_Z-score	Produced_negative_P-value	Cross_negative_n	Cross_negative_Pearson	Cross_negative_Z-score	Cross_negative_P-value
D-glucono-delta-lactone-6-phosphate C6H11O9P	2	1	0.488993	0.523138	0.300439	NC	NC	NC	NC	NC	NC	NC	NC	1	0.488993	0.523138	0.300439	1	0.488993	0.417463	0.33817	NC	NC	NC	NC	NC	NC	NC	NC	1	0.488993	0.417463	0.33817	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
6-phospho-D-gluconate C6H13O10P	2	1	0.205372	-0.489359	0.687706	NC	NC	NC	NC	NC	NC	NC	NC	1	0.205372	-0.489359	0.687706	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.205372	-0.337773	0.632233	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.205372	-0.337773	0.632233
D-ribulose-5-phosphate C5H11O8P	4	6	0.657109	2.3827	0.00859318	NC	NC	NC	NC	3	0.666822	1.83059	0.033581	3	0.647395	1.70458	0.0441365	2	0.622133	1.19081	0.116865	NC	NC	NC	NC	1	0.474635	0.371635	0.355082	1	0.769631	1.39082	0.0821398	4	-0.674596	2.2759	0.011426	NC	NC	NC	NC	2	-0.762916	2.07547	0.0189715	2	-0.586277	1.26348	0.103209
D-xylulose-5-phosphate C5H11O8P	2	1	0.0229111	-1.98512	0.976434	NC	NC	NC	NC	NC	NC	NC	NC	1	0.0229111	-1.98512	0.976434	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.0229111	-1.75648	0.960497	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.0229111	-1.75648	0.960497
D-ribose-5-phosphate C5H11O8P	4	6	0.525318	1.34278	0.0896714	6	0.525318	1.34278	0.0896714	NC	NC	NC	NC	NC	NC	NC	NC	3	0.408817	0.148812	0.440851	3	0.408817	0.148812	0.440851	NC	NC	NC	NC	NC	NC	NC	NC	3	-0.641819	1.82385	0.0340875	3	-0.641819	1.82385	0.0340875	NC	NC	NC	NC	NC	NC	NC	NC
D-sedoheptulose-7-phosphate C7H15O10P	2	1	0.434124	0.347014	0.364291	NC	NC	NC	NC	NC	NC	NC	NC	1	0.434124	0.347014	0.364291	1	0.434124	0.241562	0.40456	NC	NC	NC	NC	NC	NC	NC	NC	1	0.434124	0.241562	0.40456	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
D-erythrose-4-phosphate C4H9O7P	4	6	0.470875	0.911308	0.181067	3	0.573457	1.27608	0.100964	NC	NC	NC	NC	3	0.368294	0.0760144	0.469704	4	0.423704	0.259577	0.397595	1	0.589934	0.741782	0.22911	NC	NC	NC	NC	3	0.368294	-0.0930191	0.537056	2	-0.565218	1.1659	0.121828	2	-0.565218	1.1659	0.121828	NC	NC	NC	NC	0	-10000	0	0.5
D-ribulose-1,5-bisphosphate C5H12O11P2	2	1	0.240049	-0.341061	0.633471	1	0.240049	-0.341061	0.633471	NC	NC	NC	NC	NC	NC	NC	NC	1	0.240049	-0.445644	0.672073	1	0.240049	-0.445644	0.672073	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
L-alanine C3H7NO2	2	1	0.449575	0.396874	0.34573	1	0.449575	0.396874	0.34573	NC	NC	NC	NC	NC	NC	NC	NC	1	0.449575	0.291358	0.385389	1	0.449575	0.291358	0.385389	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
ammonia H3N	19	171	0.375489	0.392869	0.347208	10	0.393944	0.245644	0.402979	91	0.363447	-0.171747	0.568182	70	0.388507	0.771438	0.220224	108	0.412467	0.90079	0.18385	9	0.424999	0.270527	0.393377	52	0.395257	0.274623	0.391803	47	0.429108	1.04515	0.147978	63	-0.312098	-0.803695	0.789213	1	-0.114453	-0.797524	0.787427	39	-0.321034	-0.635452	0.737433	23	-0.30554	-0.41126	0.659559
diphosphate H4O7P2	62	1891	0.378683	0.604054	0.272904	21	0.410213	0.447718	0.327178	1485	0.3828	0.870419	0.192036	385	0.361084	-0.467758	0.680021	1087	0.404006	0.336899	0.368097	10	0.410789	0.0537269	0.478576	858	0.402719	0.109649	0.456344	219	0.408739	0.587051	0.278585	804	-0.344446	0.457734	0.323572	11	-0.409689	0.692409	0.24434	627	-0.355541	1.18251	0.118502	166	-0.298215	-1.52498	0.936368
oxygen O2	30	435	0.367858	-0.182182	0.57228	36	0.345804	-0.425631	0.664812	210	0.369492	0.0240899	0.49039	189	0.370244	-0.152749	0.560702	238	0.392004	-0.223698	0.588504	21	0.373667	-0.361597	0.641173	106	0.402079	0.130073	0.448254	111	0.385852	-0.33011	0.629342	197	-0.338687	0.0197901	0.492105	15	-0.306797	-0.308845	0.62128	104	-0.336278	0.101493	0.45958	78	-0.348032	0.0381547	0.484782
L-aspartate C4H7NO4	11	55	0.354521	-0.301732	0.618572	36	0.377878	0.265765	0.39521	1	0.207751	-0.478742	0.683939	18	0.315962	-0.871726	0.808321	24	0.367806	-0.420946	0.663103	14	0.409314	0.104473	0.458397	1	0.207751	-0.583151	0.720104	9	0.321023	-0.698984	0.757719	31	-0.344236	0.170166	0.43244	22	-0.357872	0.521402	0.301043	0	-10000	-1.#IND	1.#QNAN	9	-0.310902	-0.517521	0.697604
H2O2 H2O2	3	3	0.344038	-0.0125351	0.505001	NC	NC	NC	NC	3	0.344038	-0.0125351	0.505001	NC	NC	NC	NC	2	0.435591	0.316923	0.375651	NC	NC	NC	NC	2	0.435591	0.316923	0.375651	NC	NC	NC	NC	1	-0.160934	-0.540765	0.705665	NC	NC	NC	NC	1	-0.160934	-0.540765	0.705665	NC	NC	NC	NC
L-glutamate C5H9NO4	24	276	0.347346	-1.11436	0.867438	45	0.370351	0.0297582	0.48813	105	0.377844	0.164352	0.434727	149	0.325607	-1.79007	0.963279	143	0.378193	-0.693122	0.755883	18	0.45347	0.886132	0.187773	58	0.391098	-0.0892618	0.535563	74	0.362417	-1.04932	0.852984	133	-0.314179	-0.833586	0.797743	27	-0.314939	-0.396475	0.654123	47	-0.361488	0.380934	0.351626	75	-0.289288	-1.45418	0.927051
beta-alanine C3H7NO2	4	6	0.359274	-0.261533	0.603159	NC	NC	NC	NC	3	0.386874	0.160508	0.43624	3	0.331673	-0.548541	0.70834	2	0.376826	-0.110255	0.543896	NC	NC	NC	NC	1	0.117297	-1.05933	0.855275	1	0.636355	0.896146	0.185088	4	-0.350498	-0.105371	0.541959	NC	NC	NC	NC	2	-0.521663	0.983958	0.162568	2	-0.179333	-1.13855	0.872554
inosine-5'-phosphate C10H13N4O8P	4	6	0.542858	1.17214	0.120571	3	0.367737	-0.390614	0.651959	NC	NC	NC	NC	3	0.717978	2.1297	0.0165983	1	0.839339	1.71405	0.0432598	0	-10000	-1.#IND	1.#QNAN	NC	NC	NC	NC	1	0.839339	1.71405	0.0432598	5	-0.483562	0.815996	0.207251	3	-0.367737	-0.170638	0.567746	NC	NC	NC	NC	2	-0.657298	1.56788	0.0584549
GTP C10H16N5O14P3	10	45	0.4175	0.864815	0.19357	36	0.378557	0.021612	0.491379	NC	NC	NC	NC	9	0.573273	2.11398	0.0172586	33	0.425586	0.485809	0.313551	25	0.379726	-0.342549	0.634031	NC	NC	NC	NC	8	0.5689	1.73546	0.0413298	12	-0.395264	0.519215	0.301805	11	-0.375902	0.282491	0.388784	NC	NC	NC	NC	1	-0.608251	0.987806	0.161624
GDP C10H15N5O11P2	7	21	0.410002	0.694586	0.243657	NC	NC	NC	NC	15	0.45844	1.27517	0.101125	6	0.288908	-0.731072	0.767632	16	0.381693	-0.116394	0.54633	NC	NC	NC	NC	10	0.437363	0.569849	0.28439	6	0.288908	-0.963472	0.832345	5	-0.500592	1.35254	0.0881007	NC	NC	NC	NC	5	-0.500592	1.35254	0.0881007	0	-10000	0	0.5
L-ornithine C5H12N2O2	3	3	0.183852	-1.51772	0.935458	NC	NC	NC	NC	1	0.010151	-2.39737	0.991743	2	0.270702	-0.295876	0.616338	2	0.139904	-1.91048	0.971964	NC	NC	NC	NC	1	0.010151	-2.49936	0.993779	1	0.269656	-0.328248	0.628638	1	-0.271748	-0.0779944	0.531084	NC	NC	NC	NC	0	-10000	-1.#IND	1.#QNAN	1	-0.271748	-0.0779944	0.531084
carbamoyl-phosphate CH4NO5P	4	6	0.390103	0.219336	0.413194	1	0.407201	0.259305	0.3977	1	0.452649	0.406763	0.342091	4	0.370192	-0.0263041	0.510493	2	0.429925	0.307556	0.37921	1	0.407201	0.153964	0.438819	1	0.452649	0.301235	0.381618	0	-10000	0	0.5	4	-0.370192	0.209343	0.41709	0	-10000	-1.#IND	1.#QNAN	0	-10000	-1.#IND	1.#QNAN	4	-0.370192	0.209343	0.41709
citrulline C6H13N3O3	2	1	0.433449	0.344828	0.365112	NC	NC	NC	NC	NC	NC	NC	NC	1	0.433449	0.344828	0.365112	1	0.433449	0.239378	0.405406	NC	NC	NC	NC	NC	NC	NC	NC	1	0.433449	0.239378	0.405406	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
L-arginino-succinate C10H18N4O6	2	1	0.55249	0.726341	0.233815	NC	NC	NC	NC	NC	NC	NC	NC	1	0.55249	0.726341	0.233815	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.55249	0.815297	0.207451	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.55249	0.815297	0.207451
